season,date,home_team,away_team,fthg,ftag,ftr,hthg,htag,htr,hs,as,hst,ast,hc,ac,hf,af,hy,ay,hr,ar
1993/94,1993-08-29,Atalanta,Cagliari,5,2,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1993-08-29,Genoa,Roma,2,0,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1993-08-29,Inter,Reggiana,2,1,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1993-08-29,Juventus,Cremonese,1,0,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1993-08-29,Lazio,Foggia,0,0,D,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1993-08-29,Lecce,Milan,0,1,A,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1993-08-29,Napoli,Sampdoria,1,2,A,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1993-08-29,Piacenza,Torino,0,3,A,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1993-08-29,Udinese,Parma,0,1,A,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1993-05-09,Cagliari,Udinese,1,2,A,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1993-05-09,Cremonese,Napoli,2,0,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1993-05-09,Foggia,Inter,1,1,D,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1993-05-09,Milan,Genoa,1,0,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1993-05-09,Parma,Lecce,1,0,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1993-05-09,Reggiana,Lazio,0,0,D,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1993-05-09,Roma,Juventus,2,1,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1993-05-09,Sampdoria,Piacenza,2,1,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1993-05-09,Torino,Atalanta,2,1,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1993-08-09,Atalanta,Reggiana,2,1,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1993-08-09,Genoa,Cagliari,1,1,D,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1993-08-09,Inter,Cremonese,2,1,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1993-08-09,Juventus,Sampdoria,3,1,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1993-08-09,Lazio,Parma,2,1,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1993-08-09,Lecce,Foggia,0,2,A,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1993-08-09,Napoli,Torino,0,0,D,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1993-08-09,Piacenza,Milan,0,0,D,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1993-08-09,Udinese,Roma,0,0,D,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1993-12-09,Cagliari,Inter,1,0,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1993-12-09,Cremonese,Lazio,1,0,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1993-12-09,Foggia,Juventus,1,1,D,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1993-12-09,Milan,Atalanta,2,0,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1993-12-09,Parma,Genoa,2,1,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1993-12-09,Reggiana,Piacenza,1,1,D,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1993-12-09,Roma,Napoli,2,3,A,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1993-12-09,Sampdoria,Lecce,2,1,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1993-12-09,Torino,Udinese,1,0,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1993-09-19,Atalanta,Cremonese,0,0,D,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1993-09-19,Foggia,Cagliari,0,1,A,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1993-09-19,Genoa,Napoli,0,0,D,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1993-09-19,Juventus,Reggiana,4,0,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
