#,Team,M.,W,D,L,Dif,Pt.
1.0,Real Madrid,486,291,85,110,533,533
2.0,Bayern Munich,388,231,78,79,427,427
3.0,FC Barcelona,341,196,77,68,319,319
4.0,Manchester United,289,153,69,67,224,224
5.0,Juventus,297,151,68,78,171,171
6.0,AC Milan,265,127,69,69,171,171
7.0,Liverpool FC,230,128,48,54,214,214
8.0,FC Porto,265,120,58,87,86,86
9.0,SL Benfica,266,116,61,89,114,114
10.0,Chelsea FC,197,101,52,44,153,153
11.0,AFC Ajax,215,100,50,65,105,105
12.0,Inter Milan,203,97,53,53,77,77
13.0,Arsenal FC,197,93,44,60,98,98
14.0,Borussia Dortmund,176,83,36,57,75,75
15.0,Atlético Madrid,166,79,44,43,78,78
16.0,Paris Saint-Germain,151,79,29,43,115,115
17.0,Manchester City,127,72,26,29,123,123
18.0,Dinamo Kiev,186,65,41,80,-22,-22
19.0,PSV Eindhoven,171,58,43,70,-11,-11
20.0,Celtic FC,156,61,28,67,-6,-6
21.0,Olympique Lyon,136,58,36,42,49,49
22.0,RSC Anderlecht,163,53,35,75,-64,-64
23.0,Valencia CF,116,48,34,34,44,44
24.0,Galatasaray,161,43,41,77,-97,-97
25.0,Olympiakos Piraeus,156,47,28,81,-89,-89
26.0,Rangers FC,131,43,31,57,-44,-44
27.0,Crvena Zvezda,104,48,15,41,37,37
28.0,AS Roma,109,41,26,42,-10,-10
29.0,Olympique Marseille,110,43,18,49,21,21
30.0,Panathinaikos,127,36,37,54,-39,-39
31.0,Shakhtar Donetsk,118,39,26,53,-47,-47
32.0,Bayer Leverkusen,107,37,25,45,-27,-27
33.0,AS Monaco,98,35,21,42,7,7
34.0,Spartak Moskva,104,34,23,47,-23,-23
35.0,AC Sparta Praha,102,33,24,45,-24,-24
36.0,Feyenoord,85,32,22,31,28,28
37.0,CSKA Sofia,86,34,15,37,-7,-7
38.0,Club Brugge KV,97,31,22,44,-29,-29
39.0,SSC Napoli,66,30,17,19,30,30
40.0,FC Schalke 04,73,29,17,27,-6,-6
41.0,FC Basel,82,29,15,38,-36,-36
42.0,Sevilla FC,72,27,20,25,-2,-2
43.0,IFK GÃ¶teborg,70,30,10,30,7,7
44.0,Sporting CP,92,28,15,49,-40,-40
45.0,FCSB,87,25,22,40,-24,-24
46.0,Tottenham Hotspur,61,27,13,21,23,23
47.0,CSKA Moskva,86,23,20,43,-43,-43
48.0,Lazio Roma,60,23,16,21,9,9
49.0,Deportivo La CoruÃ±a,58,23,15,20,-5,-5
50.0,Rosenborg BK,90,21,21,48,-63,-63
51.0,Werder Bremen,60,23,14,23,-3,-3
52.0,Girondins Bordeaux,50,21,16,13,0,0
53.0,Austria Wien,63,22,13,28,-9,-9
54.0,Standard LiÃ¨ge,46,24,5,17,23,23
55.0,Rapid Wien,61,24,5,32,-5,-5
56.0,Zenit St. Petersburg,64,21,14,29,-15,-15
57.0,FK Viagem PÅÃ­bram,45,22,10,13,17,17
58.0,Bor. MÃ¶nchengladbach,51,19,16,16,30,30
59.0,Dinamo BucureÅti,54,21,9,24,-1,-1
60.0,RB Leipzig,46,22,6,18,-2,-2
61.0,FenerbahÃ§e,73,20,10,43,-68,-68
62.0,Leeds United,38,20,6,12,33,33
63.0,ACF Fiorentina,39,18,12,9,8,8
64.0,GÃ³rnik Zabrze,43,20,6,17,4,4
65.0,BeÅiktaÅ,70,17,13,40,-77,-77
66.0,AS Saint-Ãtienne,39,19,6,14,8,8
67.0,Hamburger SV,39,18,6,15,14,14
68.0,Ãjpest FC,40,17,8,15,2,2
69.0,MalmÃ¶ FF,53,14,11,28,-57,-57
70.0,FC Nantes,40,12,14,14,-2,-2
71.0,BFC Dynamo,36,14,7,15,0,0
72.0,Villarreal CF,40,11,15,14,-7,-7
73.0,Hajduk Split,26,14,5,7,18,18
74.0,Legia Warszawa,32,14,5,13,-8,-8
75.0,Spartak Trnava,24,13,7,4,24,24
76.0,Partizan,45,13,7,25,-13,-13
77.0,AEK Athen,56,9,19,28,-42,-42
78.0,Stade Reims,24,14,3,7,33,33
79.0,FC KÃ¸benhavn,44,11,12,21,-28,-28
80.0,Budapesti Vasas,27,12,6,9,28,28
81.0,Dynamo Dresden,30,12,6,12,4,4
82.0,Lille OSC,46,9,15,22,-19,-19
83.0,Nottingham Forest,20,12,4,4,18,18
84.0,BSC Young Boys,35,10,9,16,-22,-22
85.0,FC Zürich,33,12,3,18,-22,-22
86.0,RB Salzburg,38,9,11,18,-18,-18
87.0,Real Sociedad,32,9,9,14,-7,-7
88.0,FerencvÃ¡rosi TC,32,10,6,16,-19,-19
89.0,Grasshopper Club Zürich,38,9,8,21,-12,-12
90.0,Lokomotiv Moskva,44,9,8,27,-29,-29
91.0,Omonia Nikosia,36,11,2,23,-43,-43
92.0,VfL Wolfsburg,22,10,3,9,0,0
93.0,Budapest Honvéd,26,10,3,13,-16,-16
94.0,Dinamo Zagreb,54,8,9,37,-73,-73
95.0,Athletic Bilbao,24,8,7,9,0,0
96.0,VfB Stuttgart,27,8,7,12,-9,-9
97.0,Aston Villa,15,9,3,3,14,14
98.0,Atalanta,23,8,6,9,-3,-3
99.0,1. FC KÃ¶ln,17,7,8,2,8,8
100.0,Newcastle United,24,8,4,12,-7,-7
101.0,Trabzonspor,20,7,5,8,-9,-9
102.0,Linfield FC,40,5,11,23,-39,-39
103.0,APOEL Nikosia,40,5,11,24,-55,-55
104.0,Eintracht Frankfurt,15,7,3,5,2,2
105.0,RC Lens,18,6,6,6,-6,-6
106.0,FC Wacker Innsbruck,22,7,3,12,-12,-12
107.0,OGC Nice,14,7,2,5,4,4
108.0,Slovan Bratislava,16,7,2,7,-4,-4
109.0,Sturm Graz,24,7,2,15,-33,-33
110.0,GyÅri ETO FC,14,7,1,6,-3,-3
,Servette FC,17,6,4,7,-3,-3
112.0,Aarhus GF,18,6,4,8,-3,-3
113.0,1. FC Frankfurt (Oder),21,7,1,12,-9,-9
114.0,Lech PoznaÅ,16,7,1,8,-9,-9
115.0,AJ Auxerre,20,7,1,12,-14,-14
116.0,Jeunesse Esch,39,6,3,30,-90,-90
117.0,Sampdoria,11,6,2,3,11,11
118.0,Derby County,12,6,2,4,6,6
119.0,1. FC Kaiserslautern,12,6,2,4,2,2
120.0,BrÃ¸ndby IF,20,5,5,10,-13,-13
121.0,HJK Helsinki,28,6,2,20,-46,-46
122.0,Erzgebirge Aue,16,5,4,7,3,3
123.0,Aberdeen FC,12,5,4,3,2,2
124.0,Ruch ChorzÃ³w,14,5,4,5,-5,-5
125.0,BATE Borisov,30,4,7,19,-52,-52
126.0,Dnipro Dnipropetrovsk,12,5,3,4,2,2
127.0,BanÃ­k Ostrava,14,5,3,6,-5,-5
128.0,CFR Cluj,18,5,3,10,-8,-8
129.0,Boavista,18,4,6,8,-11,-11
130.0,Leicester City,10,5,2,3,1,1
131.0,Widzew ÅÃ³dÅº,16,5,2,9,-3,-3
132.0,Levski Sofia,28,4,5,19,-26,-26
133.0,Dundee United,8,5,1,2,9,9
134.0,MÃ¡laga CF,10,4,4,2,7,7
135.0,MTK Budapest,10,5,1,4,4,4
136.0,Wiener Sport-Club,12,4,4,4,3,3
137.0,1. FC Nürnberg,8,5,1,2,2,2
138.0,Vojvodina,9,5,1,3,1,1
139.0,FC Kuusysi (old),14,5,1,8,-13,-13
140.0,Sporting Braga,18,5,1,12,-18,-18
141.0,FC Ararat,6,5,0,1,9,9
142.0,Dundee FC,8,5,0,3,6,6
143.0,FC Carl Zeiss Jena,8,5,0,3,1,1
144.0,Glentoran FC,20,3,6,11,-19,-19
145.0,Viktoria PlzeÅ,24,4,3,17,-46,-46
146.0,FC Universitatea Craiova,12,4,2,6,-3,-3
147.0,LillestrÃ¸m SK,12,3,5,4,-5,-5
148.0,AFC DWS,6,4,1,1,9,9
149.0,Vejle BK,12,3,4,5,-9,-9
150.0,Sliema Wanderers,14,4,1,9,-25,-25
151.0,ArgeÈ PiteÈti,8,4,0,4,3,3
152.0,Dinamo Minsk,8,3,3,2,2,2
153.0,NeuchÃ¢tel Xamax FCS,8,4,0,4,1,1
154.0,Ãtvidabergs FF,8,4,0,4,0,0
155.0,Rubin Kazan,12,2,6,4,-5,-5
156.0,KF TiranÃ«,16,3,3,10,-10,-10
157.0,Esbjerg fB,12,3,3,6,-17,-17
158.0,Everton FC,8,2,5,1,6,6
